Component,Description,Type
10.4995/wpom.16808,"What does the wage structure depend on? Evidence from the national salary survey in Spain. Purpose: This paper aims to assess extrinsic motivation in the Spanish labor market. We focus on evaluating whether remuneration programs have a sufficient prevalence in the Spanish context to be considered in research models. Besides, we are also interested in identifying which are the factors that might affect the adoption of those programs.Design/methodology/approach: We gather the data from three waves (2006, 2010, and 2014) of the salary structure survey (EES) conducted by the Spanish National Institute of Statistics (INE). We use Descriptive Statistics for identifying the incidence and intensity of remuneration programs in the Spanish context. We use the Generalized Linear Model (GLM) for exploring which factors are affecting the implementation of remuneration programs.Findings: Our results show that both degree of use and intensity of remuneration programs related to extrinsic motivation are low. There are not important differences between the three series of data. It seems that the rigidity of the Spanish labor legislation influences the salary structure. In this sense, the basic salary and fixed payments are the central part of the monthly gross amount. Finally, few of the factors under study have a substantial effect on the intensity of variable retribution.Research limitations: Our research uses only official data provided by company payroll records and many economic participation programs are grouped into a single category within the survey, which limits the possibility of analysis. In addition, the cross-sectional nature of the data limits the possibility of establishing causal relationships.Practical implications: We have concluded that remuneration programs related to extrinsic motivation are not being widely used in the Spanish context. This fact is relevant since many studies point out that employee involvement is essential for the success of organizations in the current contextOriginality/value: The importance of the study lies in its focus on the salary structure to assess whether extrinsic motivation mechanisms are used in the Spanish labor market. We have studied the salary structure composition in Spain in a disaggregated way, focusing on variable remuneration, whereas most of the previous research considers the salary as a whole (total gross salary without dividing by retribution concepts). Also, we have identified which factors are affecting the implementation of remuneration programs.mic programs. Also, we have clarified several issues related to the salary structure in Spain.",art
10.4995/wpom.17670,"Protocol: Systematic literature review on family business and information and communication technologies. Family businesses move the Spanish economy and are the main job generators in the country, adapting to changes where it is necessary and useful to incorporate Information and Communication Technologies (ICTs) for good business and commercial management. Taking this into consideration, this research aims to carry out a protocol to subsequently develop a systematic literature review on these topics: family businesses and ICTs. This protocol introduces some reflections about the issues of family businesses and ICTs, which gives threads to understand their importance. Likewise, the objective is to give answer to a group of research questions that will be answered along the literature review process. A methodology section is also included. It clearly shows which inclusion and exclusion criteria have been used in the search strategy under the Scopus and Web of Science databases, making visible the total number of scientific articles until reaching a filtered sample of 106 final articles for later review. Finally, a code ' s tree is elaborated based on the research questions and a working plan. It ends by including a list of bibliographical references of all the work prior to the development of the protocol.",art
10.4995/wporn.14699,"Design and Development of a Genetic Algorithm Based on Fuzzy Inference Systems for Personnel Assignment Problem. In today's competitive markets, the role of human resources as a sustainable competitive advantage is undeniable. Reliable hiring decisions for personnel assignation contribute greatly to a firms' success. This is especially relevant in disasters management and emergency situations where times plays a fundamental role for effective relief and the costbenefit ratio can be improved. The Personnel Assignment Problem (PAP) relies on assigning the right people to the right positions. The solution to the PAP provided in this paper includes the introducing and testing of an algorithm based on a combination of a Fuzzy Inference System (FIS) and a Genetic Algorithm (GA). The evaluation of candidates is based on subjective knowledge and is influenced by uncertainty. A FIS is applied to model experts' qualitative knowledge and reasoning. Also, a GA is applied for assigning assessed candidates to job vacancies based on their competency and the significance of each position. The proposed algorithm is applied in an Iranian company in the chocolate industry. Thirty-five candidates were evaluated and assigned to three different positions. The results were assessed by ten Human Resources (HR) managers and the algorithm results proved to be satisfactory in discovering desirable solutions. Also, two GA selection techniques (tournament selection and proportional roulette wheel selection) were applied and compared. Results show that tournament selection has better performance than proportional roulette wheel selection.",art
10.4995/wpom.v12i1.14517,"Impact of Green Initiatives on the Financial Performance of Small and Medium Enterprises: The Case of Manufacturing Firm in Central Luzon. This study was conducted to propose the Green Economic Development Plan or G.E.D. plan which may be used as guide by Small and Medium Manufacturing Enterprises or S.M.M.E.s to achieve a more competitive advantage. The researcher was inspired by the theory of sustainable development where green practitioners ensure that business processes are geared towards the preservation of the natural environment. Green practices ensure that natural environment is protected, sources of local supplies and raw materials are sustained, total costs and expenses are reduced and net income are increased, hence, businesses become more resilient and competitive. More resilient and competitive businesses contribute to economic development which will benefit the whole community. The descriptive survey method was used to gather data to determine the green initiatives that were implemented by S.M.M.E.s and were used as bases for crafting a green economic development plan or G.E.D. plan. Document analysis was also employed to obtain data from any available printed materials and records provided by the respondents. Observation was also employed to survey the assets owned and validate any green initiatives that were implemented by the S.M.M.E.s. Such methods of gathering information were used to validate data gathered from local and foreign-related literature. The findings showed that among the green initiatives implemented by S.M.M.E.s, which resulted in the reduction of total costs and expenses, were the proper disposal and segregation of waste materials, water management by recycling wastewater and using water-efficient equipment, installing energyefficient equipment, using eco-friendly packaging materials and local supplies, managing efficiently natural resources and raw materials.Having analyzed the findings it was recommended that the S.M.M.E.s should encourage active participation and support of suppliers and customers in achieving the G.E.D.'s objectives by developing incentive schemes. Furthermore, S.M.M.E.s should continue to benchmark with Green Practitioners that are operating locally and abroad to adopt best greening strategies and regularly network with concerned government agencies for continuous updating on Green Economic Development initiatives that may benefit the firm. Further research may be conducted on green initiatives implemented by small and medium enterprises in other industry sectors.",art
10.4995/wpom.17628,"How to measure cultural fit in organizations. The CFAM Method. Organizational culture is definitely a transcendental element in terms of the development and smooth running of organizations. However, there are still very few companies that are ac-tively managing it. This is largely due to the inherent difficulty in quantifying such an abstract and ethereal subject as culture and values. Our objective is to present the CFAM method (Cultural Fit Assessment Method), a procedure for measuring organizational and individual culture based on values, as well as the degree of fit between them. This method makes it possible to identify dominant cultural traits in organizations and individuals and then to as-sess by means of a series of KPIs whether the two fit together in an agile, fast and cost-effective way.",art
10.4995/wpom.16780,"Protocol: Systematic literature review of the application of the multicriteria decision analysis methodology in the evaluation of urban freight logistics initiatives. The paper presents a protocol for conducting a systematic literature review (SLR) on the application of multicriteria decision analysis methods (MCDM) as a tool for evaluating urban freight logistics.This research topic arises from the growing interest of public and private actors in achieving objectives of reducing environmental and social impacts and/or improving operational efficiency in city logistics.The search is focused on publications comprised in the period between 2012 and 2020. Finally, with the selected works, a descriptive analysis is carried out, which allows obtaining a preliminary result of the RSL that will be developed in future research.SDGs' supported by research: SDG08 Decent Work and Economic Growth and SDG11 Sustainable Cities and Communities.",art
10.4995/wpom.15677,"How to improve students' experience in blending learning? Evidence from the perceptions of students in a Postgraduate Master's Degree. This paper examines the perceptions of a group of students of a Postgraduate Master's Degree in Cosmetics Industry at the Universitat de Valencia, delivered with a blended learning modality, in relation to their experience in face-to-face learning and differentiating between those with or without a previous background in a remote online learning environment, with the added purpose of identifying strategies to enhance that experience, while offering further evidence for scholars, educators and institutions in this field. To this end, a survey with open questions devised ad hoc leaning on our literature review was submitted to a group of 114 students of the Master's Degree in the period 2017-2020. Students were enquired about the pros and cons of their blended learning experience in relation to the traditional face-to-face learning, and which modality they would choose next time if both were offered, only considering the achievement, experience and satisfaction, regardless of the price. 77 students of our initial sample participated in the questionnaire, 38 of them without previous experience in blended or distance learning. The results show a certain predilection for face-to-face learning, especially in the group of newbies in blended or distance learning. They highlight how they miss a closer interaction with their peers and professors and the difficulties to assimilate certain content, while appraising the flexibility, autonomy, and the self-pace of the blended learning modality. Correspondingly, students with experience in remote online education settings generally show a better predisposal and find fewer disadvantages in blended learning. This suggests that the factor of experience and adaptation to new tools and methods improves student perception and confidence and shapes their preferences, with a foreseeable growing acceptance of blended learning in the future. Finally, the outcome allows us to define a series of strategies to improve the achievement, experience, and satisfaction of students in this learning context.",art
10.4995/wpom.17243,"Human resource development practices and organizational performance: Examining the mediating role of transformational leadership style. Human resource development practices focus on the specific goals of the organization, about what needs to be done and the change that needs to be applied. The most important and effective ways of human resource development are training and development, employee involvement and professional development. The employees of the organization pointed out. The main purpose of this study was to investigate the effect of using human resources practices on improving organizational performance with regard to the mediating role of transformational leadership style in the electricity industry in Iran. The present study was based on the purpose of an applied research and in terms of method was a descriptive-survey study. A questionnaire was used to collect research data. The statistical population of the present study consisted of senior and middle managers of companies under the Ministry of Energy that were active in the Iranian electricity industry. The number of these people was estimated at 883 in the initial study, and finally, using the Cochran's formula, 268 people were selected as the sample size. After collecting data through a questionnaire, data analysis was performed using structural equation modeling. The results showed that human resource development practices have a positive and significant effect on the organizational performance of the companies under study.Has an effective mediating role. Since transformational leadership style is one of the prerequisites for the development of service organizations, by applying this style of leadership in the organization, as well as implementing effective measures and practices such as training with individual development approach and employee participation, organizational performance can be improved.",art
10.4995/wpom.15766,"Identifying and Prioritizing the Effective Criteria in Selecting Lean Six Sigma Improvement Projects in the Healthcare Sector. The main objective of this study was to identify and prioritize effective criteria in selecting Lean Six Sigma improvement projects in the healthcare and treatment sector in Iran. The present study was an applied research in terms of objective and a descriptive and analytical one according to the research methodology and data collection approach. The research statistical population included experts and managers with experience in the field of implementing the Lean Six Sigma methodology in the field of healthcare and treatment in Iran. We used interviews and questionnaire tools to collect the data. The effective criteria were identified through reviewing previous research, which were then prioritized based on the experts' opinions using the Best Worst Method. According to the results, out of the six main dimensions and 20 criteria identified, the customer development dimension with a weight of 0.387 and the customer satisfaction criterion with a weight of 0.066 were determined as the most effective dimension and the most effective criterion, respectively. Accordingly, the directors of medical centers and organizations affiliated with the healthcare sector are recommended to pay special attention to these defined criteria of the customer development dimension to effectively implement the Lean Six Sigma methodology and managing an effective customer relationship.",art
10.4995/wpom.7243,"Teaching experiences based on action research: a guide to publishing in scientific journals. A Spanish version of the article is provided (see section before references).The aim of this paper is to justify action research as an adequate research model (sufficiently simple and efficient) to analyse and disseminate teaching innovation experiences in university contexts undertaken by lecturers-researchers whose main area of knowledge is business management or other social sciences where action research is a well-known methodology. We will justify that the teaching experiences of implementing good teaching/learning practices are perfectly suited to the characteristics of action research. A checklist of the research report content for publishing in scientific journals will be proposed. Consequently, the article will be useful to higher education academics and professionals.",art
10.4995/wpom.15497,"Does organizational justice enhance job performance through high-performance human resource practices?. This study aims to analyze the influence of organizational justice on job performance intention via the mediating influence of high-performance human resource practices (HPHRPs) in a developing context. Equity theory and expectancy theory are widely employed in many disciplines but seldom applied to job performance among Pakistan Telecommunication Company Limited (PTCL). The respondents in this study were 377 employees working in PTCL. Partial least square (PLS), specifically, structural equation modeling was used for the data analysis. The study found a significant direct and indirect influence of distributive justice (DJ) on job performance through the partial mediating role of selective staffing and extensive training. Procedural justice (PJ) also, directly and indirectly, influenced job performance through the partial mediating role of the incentive reward . While interactional justice (IJ), result-oriented appraisal, employment security had an insignificant influence on job performance. Organizational justice has to be synergized with HPHRPs to enhance job performance. The results of this study would augment the body of knowledge of job performance in developed and under-developing countries.",art
10.4995/wpom.20268,"Inventory Optimization of Deteriorating Items: A Comprehensive Review of Carbon-Control Policies and Their Impact on Shelf Life, Greening Effects, and Rework Policies. This study examines the deteriorating inventory management problem for items with short shelf life, considering alternative carbon control strategies from 2018 to 2023. These policies include carbon cap and trade, trade and credit policy, carbon -emission control, and others. The study takes into account critical elements such as shelf life, optimal policies, modelling approaches, greening effects, subsidies, and rework policies. The analysis started with a search for 'EOQ Model' in the Science Direct database, which generated 788 items. For a comprehensive evaluation, were restricted our resources to 329 scientific publications, including deterioration. Following that, it was limited to carbon emissions, obtaining 123 results. The papers referenced above cover a wide range of issues, including remanufacturing and rework, as well as carbon caps and trade -credit systems for data collection, yielding 45 and 32 research articles, respectively. The review prioritizes respected publications of peer -reviewed journals papers for reliable results were examined. A review of the literature suggested that future research should concentrate on stochastic modelling. The emphasis has been placed on identifying future study gaps that will aid in the development of most relevant models. The current work will serve as a guideline for selecting the suitable mathematical technique(s) and methodology(s) in various situations involving deteriorating items. The current analysis examined 42 research papers on deteriorating inventory modelling accessible in the literature to characterize its current state and indicate probable future directions. Future research needs have also been identified. This comprehensive study is firmly believed to fill a knowledge gap on deteriorating inventory and support in the formulation of appropriate methods for the creation of a successful and effective inventory control system for deteriorating products.",art
10.4995/wpom.18697,"Automation of Post-Order Costing Analysis ByUsing Visual Basic For Applications In Microsoft Excel: A Case Study. Microsoft Excel is used to carry out reporting tasks in small and medium companies across the globe. Most people make reports manually in Microsoft Excel and the manual work takes a tre-mendous amount of time. The manual work can be easily automated with some effort in Microsoft Excel. This research is about the automation of report that was used to be made manually in Mi-crosoft Excel.The present research is an extension of the previously conducted research (Kalwar, Shahzad, et al., 2022). The manual process to make the post-order costing analysis report in MS excel requires a lot of user time (22.80 minutes, just if there is a single order of only one article with one color), with the greater possibility of human error. Employees in ananonymous footwear company in Lahore used to generate the post-order costing report manually in Excel.Due to the above-mentioned reasons, it was proposedto automate the report using visual basic for applica-tions (VBA) in Microsoft Excel.The planning and costing departmentof the company provided every single step required to make the report manually. A time study was conducted for each stepof report preparation using the stopwatch.VBA macros were programmed for automating all manual report-related processes in excel andthe accuracy of the report was also verified. After the report was automated, the time study was again conducted to measure the execution time after each click. A comparison of both methods indicated that the report automation saved 83.18% of employees' time Additionally, the automatedmethod resulted in an error-free report, and the employee`sworkload was reducedas well.",art
10.4995/wpom.19824,"Integrating the SDG into university teaching: an application in human resources subjects. The aim of this paper is to propose different initiatives to integrate the SDG into university education. To do so, firstly, some theoretical questions about the SDG and education are addressed. In addition, a review is made of previous research that has incorporated the SDG into university teaching. Finally, four activities are proposed that combine various teaching methodologies, as well as digital resources to facilitate the integration of the SDG in Human rate the SDG in subjects related to the management and administration of people.",art
10.4995/wpom.11755,"Three-stage publishing to support evidence-based management practice. A Spanish version of the article is provided (see section before annex).This article proposes a 4-step model for scientific dissemination that aims to promote evidence-based professional practice in Operations Management or Human Resource Management as well as research with a more transparent and reproducible process. These 4 steps include:1 social network announcements, 2 dissemination to scientific journals, 3 dissemination to social networks, and 4 scientific dissemination to professional journals. Central to the 4-step model is a three-stage publication process within the second step, which adds an additional stage to the two previously proposed (Marin-Garcia, 2015). These three publication stages begin with a protocol paper, are followed by a data paper, and finish with a traditional article. Each stage promotes research with merit which is citable and recognizable as such before the scientific evaluation bodies. As two of these stages are largely unknown within the fields of Business and Management, I define the details of a protocol paper and a data paper including their contents. In addition, I provide examples of both papers as well as the other steps of the science dissemination model. This model can be adopted by researchers as a means of achieving greater impact and transfer of research results. This work intends to help researchers to understand, to evaluate, and to make better decisions about how their research reaches society at large outside of academia.In this way, WPOM aligns with the recommendations of several leading journals in the field of business management on the need to promote transparent, accessible, and replicable science (Beugelsdijk et al., 2020). WPOM goes one step further in compliance with this direction by having relevant journals that not only accept, but also actively encourage the publication of protocol papers and data papers. WP0.4,1 strives to pioneer in this field of Business and Management.This article also explores the potential prevalence ofprotocol papers and data papers within the set of all articles published in journals indexed in Clarivate Web of Science and Scopus.With this editorial, WPOM is committed to promoting this model by accepting for review any of the three types of scientific contributions including protocol papers, data papers, and traditional papers.SDGs' supported by research: SDG08 Decent Work and Economic Growth",art
10.4995/wpom.18118,"Protocol paper: Needs analysis for the development of innovation competence in higher education remote learning environments. This work adheres to the recommendations for publication in three steps (Marin-Garcia, 2021). We propose a protocol to develop research the objective of which is to analyse the needs and challenges, as perceived by university lecturers, related to teaching, learning, or assessing competences related to the innovative capacity of students in an array of digital remote teaching contexts. In this sense, we want to consider situations where teachers watch their students interact with each other. The interaction between students can occur face-to-face or remotely and, in the latter case, either synchronous or asynchronous. In addition, teacher observation can be done synchronously (face-to-face or remotely) or by watching a previously recorded video.",art
10.4995/wpom.14769,"Analysis of the motivation policy from a gender perspective. The main objective of this paper is to present a method to analyze the motivational policy based on a gender perspective. To do this, we carry out the study of the motivating factors with the greatest presence in the company and the individual analysis of each one of them. We continue with their assessment based on the importance they have for each worker in their job position, using an adequacy coefficient as a measurement tool, comparing this assessment with the ideal of the company. We continue to show different results depending on the level of assessment of the motivational factors and comparing the answers according to the age, gender, etc., of the employees. From the analysis we observe that there are differences in the selection of factors and in the valuation of some of the choosen factors according to the gender of the employees.We conclude by presenting the implications that these results have for business management, highlighting the applicability of the method to any organization by using ad hoc designs.",art
10.4995/wpom.16244,"Case report papers guidelines: Recommendations for the reporting of case studies or action research in Business Management. A Spanish version of the article is provided (see section before references).Objective: To provide a working guide which facilitates the accuracy, transparency, and usefulness for academics and practitioners of case report papers as an article type which are fit for publishing in impact journals. In this way, we aim to increase the use and dissemination of recommendations in aid of the writing and publication of case study and action research.Theoretical framework: A case report paper presents a story in narrative form and includes current individual or organisational concerns, situational diagnoses, interventions, outcomes including adverse events, and follow-up. The narrative should include a discussion of the rationale for any conclusions and lessons learned.Method: We analysed the prevalence of these type of articles in publications as indexed in Web of Science (WOS) and in Scopus; we explain how we customised the case report guidelines (CAse REport or CARE) to optimise them for the scientific field of Management focussing particularly on Operations Management and Human Resources Management. We shared for discussion and feedback the adapted proposal among a group of academics and professionals in the field of Management.Outcomes/Implications: Robust reporting guidelines help to improve research performance, reduce bias risk, provide information on the implementation of management practices, support the training of management professionals, and enable informed editorial decisions by journal editors and reviewers.",art
10.4995/wpom.18031,"The part-time assistant professor in the Spanish university from an autoethnographic approach. The figure of the part-time assistant professor has been gaining presence in Spanish uni-versities since its inception in the 1980s, especially since 2010 with the economic crisis and the reduction in the replacement rate of university professors. Despite the growing rele-vance within the university faculty, the controversy that the use of this figure has generated, and the problems faced by this group of professors in their performance, there is a shortage of publications focused on questioning its role, how this figure is used and how its perfor-mance can be smoothed and favored. To contribute in this direction, and with the purpose of encouraging better management of this figure from the perspective of human resources and the quality of the service offered, this article addresses the use and improvement of the benefits of the part-time assistant professor in the Spanish university from a collaborative autoethnographic approach. In this sense, a series of aspects are identified and proposed to improve the framework and conditions in which part-time assistant professors carry out their activity, as well as their competences and attributions, in order to promote reflection and debate among teachers, scholars, government bodies and other actors with the ability to influence their performance according to the goals for which this figure was actually conceived, which ultimately would result in greater self-realization and personal satisfac-tion of these professors, and contribute to educational excellence, as well as a better quali-ty of service and superior competitiveness of universities.",art
10.4995/wpom.15332,"A data generator for covid-19 patients' care requirements inside hospitals. A Spanish version of the article is provided (see section before references). This paper presents the generation of a plausible data set related to the needs of COVID-19 patients with severe or critical symptoms. Possible illness' stages were proposed within the context of medical knowledge as of January 2021. The parameters chosen in this data set were customized to fit the population data of the Valencia region (Spain) with approximately 2.5 million inhabitants. They were based on the evolution of the pandemic between September 2020 and March 2021, a period that included two complete waves of the pandemic.Contrary to expectation and despite the European and national transparency laws (BOE-A2013-12887, 2013; European Parliament and Council of the European Union, 2019), the actual COVID-19 pandemic-related data, at least in Spain, took considerable time to be updated and made available (usually a week or more). Moreover, some relevant data necessary to develop and validate hospital bed management models were not publicly accessible. This was either because these data were not collected, because public agencies failed to make them public (despite having them indexed in their databases), the data were processed within indicators and not shown as raw data, or they simply published the data in a format that was difficult to process (e.g., PDF image documents versus CSV tables). Despite the potential of hospital information systems, there were still data that were not adequately captured within these systems.Moreover, the data collected in a hospital depends on the strategies and practices specific to that hospital or health system. This limits the generalization of real data, and it encourages working with realistic or plausible data that are clean of interactions with local variables or decisions (Gunal, 2012; Marin-Garcia et al., 2020). Besides, one can parameterize the model and define the data structure that would be necessary to run the model without delaying till the real data become available. Conversely, plausible data sets can be generated from publicly available information and, later, when real data become available, the accuracy of the model can be evaluated (Garcia-Sabater and Maheut, 2021).This work opens lines of future research, both theoretical and practical. From a theoretical point of view, it would be interesting to develop machine learning tools that, by analyzing specific data samples in real hospitals, can identify the parameters necessary for the automatic prototyping of generators adapted to each hospital. Regarding the lines of research applied, it is evident that the formalism proposed for the generation of sound patients is not limited to patients affected by SARS-CoV- 2 infection. The generation of heterogeneous patients can represent the needs of a specific population and serve as a basis for studying complex health service delivery systems.",art
10.3926/ic.2513,"Factors affecting virtual work arrangements and organizational performance: Assessed within the context of Nepalese organizations. Purpose: Virtual business has great potential, and excellent work management is vital to the next generation's thinking. This study examined the factors affecting virtual work arrangements (VWAs) in Nepalese enterprises, providing a unique viewpoint on remote work in an emerging market. Design/methodology/approach: The study utilized a quantitative research methodology, employing a sample size of 408 individuals engaged in a virtual work environment. It conducted empirical research to examine the impact of communication satisfaction (CS), job satisfaction (JS), support in computer anxiety (CA), and personal empowerment (PE) on OP. Findings: The study found that CS was the most predictive of improved OP among the variables tested. Furthermore, PE had a favorable effect on OP, suggesting that organizational outcomes also improve when people feel empowered. While there was a positive correlation between CA and OP, it was not statistically significant. Such findings mean that CA may not strongly support a higher OP. On the other hand, within Nepalese VWAs, JS displayed a weak and negative correlation with OP. Research implications/originality value: By examining this relatively unexplored domain, the research aims to offer a more comprehensive grasp of VWAs, accommodating specific circumstances in Nepal and generating significant insights that can be applied globally to remote work strategies. The study's theoretical implications emphasize the importance of tailored CA methods to improve acceptance of VWAs. Integrating the Self-Determination Theory (SDT) highlights the significance of empowering virtual workers by emphasizing autonomy, competence, and relatedness to encourage proactive behavior and innovative problem-solving. As for practical implications, the study suggests that promoting effective communication and digital technology, reducing computer anxiety, and promoting empowerment can boost technology uptake and proactive attitudes in virtual work settings, improving OP.",art
