Component;Description;Type;;;;;;;;;;;;;;;
Mongoose;A popular ODM library specifically designed for MongoDB and Node.js.. Mongoose provides schema-based modeling, middleware hooks, validation, and population mechanisms�facilitating robust data modeling and architectural consistency in backend JavaScript applications. It is the core technology being explored in your review.;cat1; High-involvement management practices; Innovative work practices; Employee involvement practices; Participative management practices; High-performance human resource practices ;Advanced human resource management systems; Commitment-based HR systems; Performance-enhancing HR practices; High Involvement work practices; HIWP;High commitment work practices; HCWP; High performance work systems; HPWS;" Strategic human resource management practices "",cat1"
art6;Asynchronous Event Driven Brain Teaser Using Node.js. Node.js has emerged as a powerful platform for building scalable and efficient backend applications. This research study provides a comprehensive overview of Node.js development, encompassing its core concepts, asynchronous programming paradigms, and essential tools. This study analyzes the fundamentals of Node.js, including event-driven architecture, asynchronous operations, and package management using npm. Database integration is explored through popular ORMs like Mongoose and Sequelize for MongoDB and MySQL, respectively and also highlights the significance of authentication and authorization using Passport.js and JWT. To ensure application quality, effective testing and debugging strategies using frameworks such as Mocha, Chai, and Jest are also reviewed. By combining these elements, developers can create robust and high-performance Node.js applications.  © 2024 IEEE.;art;;;;;;;;;;;;;;;
art7;Leveraging Docker Containers for Deployment of Web Applications in Microservices Architecture. The increasing demand for scalable, flexible, and efficient web applications has led to adopting microservices architectures. Docker containers, in conjunction with microservices, enable seamless deployment and management of web applications. This paper explores the integration of Docker and microservices architecture for developing scalable web applications. Docker's containerization Technology enables packaging applications and related dependencies to be integrated into portable containers, providing advantages such as rapid startup times, reduced resource consumption, and flexible deployment options. This study highlights the use of Docker in a microservices framework, encompassing components such as client applications, Docker containers, microservices, and the database layer. The proposed system leverages Docker to develop a web application with Angular for the front end and Node.js for the back end, deployed on the Google Cloud Platform (GCP). The key aspects of the implementation include SSL/TLS configuration for secure communication, the use of middleware for authentication and session management, and a robust database connection setup with MongoDB and Mongoose. Performance analysis compares Docker containers with traditional virtual machines, demonstrating superior resource efficiency and faster deployment times.  © 2024 IEEE.;art;;;;;;;;;;;;;;;
art8;Mechanisms and techniques to enhance the security of big data analytic framework with MongoDB and Linux Containers. The frequency and scale of unauthorized access cases and misuses of data access privileges are a growing concern of many organizations. The protection of confidential data, such as social security numbers, financial information, etc., of the customers and/or employees is among the key responsibilities of any organization, and damage to such sensitive data can easily pose a threat to the future of a business and the security of the customers. Therefore, this paper proposes and implements some security mechanisms and techniques, such as secure authentication, secure authorization, and encryption, to assure the overall security of a big data analytic framework with MongoDB free community edition. This paper presents the fourth phase of our continuous research where in the first phase we proposed a data analytic framework with MongoDB and Linux Containers (LXCs) with basic security requirements. Next, in the second phase we proposed a vulnerability analysis testbed to find vulnerabilities associated with the system. Finally, in the third phase we discussed in detail root causes and some prevention techniques of vulnerabilities found in the system. In addition, this paper introduces a new security mechanism for privacy preserving data handling with MongoDB to ensure the privacy of the data before being processed. Our results show, with our initial model of the analytic framework, how well our newly introduced security mechanisms work and how these security mechanisms and techniques can be used to assure the confidentiality, integrity, and availability (CIA) of any data science project conducted on our proposed analytic framework. In addition, these security mechanisms and techniques help us to strengthen the current system against zero-day attacks where attacks on vulnerabilities that have not been patched or made public yet. Therefore, our vulnerability analysis testbed which is proposed in the second phase of this research will not be able to finds vulnerabilities related to zero-day attacks.;art;;;;;;;;;;;;;;;
art9;A home hospitalization system based on the Internet of things, Fog computing and cloud computing. In recent years, the world has witnessed a significant increase in the number of elderly who often suffer from chronic diseases, and has witnessed in recent months a major spread of the new coronavirus (COVID-19), which has led to thousands of deaths, especially among the elderly and people who suffer from chronic diseases. Coronavirus has also caused many problems in hospitals, where these are no longer able to accommodate a large number of patients. This virus has also begun to spread between medical and paramedical teams, and this causes a major risk to the health of patients staying in hospitals. To reduce the spread of the virus and maintain the health of patients who need a hospital stay, home hospitalization is one of the best possible solutions. This paper proposes a home hospitalization system based on the Internet of Things (IoT), Fog computing, and Cloud computing, which are among the most important technologies that have contributed to the development of the healthcare sector in a significant way. These systems allow patients to recover and receive treatment in their homes and among their families, where patient health and the hospitalization room environmental state are monitored, to enable doctors to follow the hospitalization process and make recommendations to patients and their supervisors, through monitoring units and mobile applications developed for this purpose. The results of evaluation have shown great acceptance of this system by patients and doctors alike.;art;;;;;;;;;;;;;;;
art10;Using Apache Airavata and EasyGateway for the creation of complex science gateway front-end. The development of community-specific user interfaces of a science gateway can be a challenging task for non-IT experts. This contribution proposes an original, easy-to-use solution to tackle this issue based on EasyGateway. EasyGateway is a modern, lightweight solution for the development of science gateway able to interplay with most toolkits. In this paper we present how EasyGateway can “dress” Apache Airavata to manage experiment configurations and job submissions. We discuss the proposed approach considering a real case application represented by the Weather Research and Forecasting Model (WRF), a community model exploited by a large number of users in meteorology and climatology domains. The combined use of EasyGateway and Apache Airavata leads to an improved user experience, enhancing the model configuration phase with support in finding inconsistencies immediately, but also exploiting the possibility of accessing a potentially large set of computational resources to perform model execution.;art;;;;;;;;;;;;;;;
art11;CommBo: Modernizing Augmentative and Alternative Communication. For every 100,000 people, there are 536 individuals with speech impairments who can benefit from the use of Augmentative and Alternative Communication (AAC) devices (Creer et al., 2016). Existing AAC devices can suffer from the shortcomings of being difficult to adjust to the user’s specific needs or simply being expensive to own and maintain. We aim to reduce the impact of these problems with CommBo: a web-based, speech-generating picture communication board meant to alleviate some major difficulties commonly experienced by AAC users. CommBo offers customizability beyond that of a physical picture board and leverages machine learning to provide intelligent suggestions. It supports heightened communication that can be brought to a multitude of computing devices, including those that are low-cost or have limited internet access. CommBo is designed for those with autism spectrum disorder (ASD) and patients suffering from any trauma that impacts the person’s ability to communicate effectively, e.g., stroke-induced aphasia. Across two studies, target and non-target participants evaluated CommBo in terms of functionality and usability, and results showed significant benefits of the system.;art;;;;;;;;;;;;;;;
art12;A science gateway for Exploring the X-ray Transient and variable sky using EGI Federated Cloud. Modern soft X-ray observatories can yield unique insights into time domain astrophysics, and a huge amount of information is stored – and largely unexploited – in data archives. Like a treasure-hunt, the EXTraS project harvested the hitherto unexplored temporal domain information buried in the serendipitous data collected by the European Photon Imaging Camera instrument onboard the ESA XMM-Newton, in 16 years of observations. All results have been released to the scientific community, together with new software analysis tools. This paper presents the architecture of the EXTraS science gateway, that has the goal to provide the software through a web based portal using the EGI Federated Cloud infrastructure. The main focus is on the light software architecture of the portal and on the technological insights for an effective use of the EGI ecosystem.;art;;;;;;;;;;;;;;;
art13;What Do Practitioners Discuss about IoT and Industry 4.0 Related Technologies? Characterization and Identification of IoT and Industry 4.0 Categories in Stack Overflow Discussions. Internet of Things and Industry 4.0–related discussions have become increasingly prevalent on several online Q&A websites in recent years. Analyzing and understanding such discussions could provide practitioners with more insights into various trends in the evolution of topics of interest and help different research communities, including software development and industrial sectors, better understand the needs and challenges facing practitioners as they operate in these fields. We conduct an exploratory study to capture and compare the popularity as well as the effect of the discussion topics on the domain across such communities. We use extracted data from popular online Q&A websites, such as Stack Exchange, and investigate 176,819 posts to investigate what practitioners are asking and looking for. We also use Machine Learning for Language Toolkit (MALLET) based–Latent Dirichlet Allocation (LDA) topic models to help summarize Internet of Things/Industry 4.0–related questions, identify the most challenging popular related issues, explore specific issues of the Internet of Things/Industry 4.0, and investigate the types of questions that practitioners ask about. We summarize all the topics into various categories and evaluate the popularity and difficulty of various topics as well. Our findings help to highlight the challenges facing the Internet of Things/Industry 4.0 practitioners which in the future would require more attention from various research and software development communities and develop new approaches to analyzing questions posed on various Q&A forums.;art;;;;;;;;;;;;;;;
art14;Authentication and Authorization in Modern Web Apps for Data Security Using Nodejs and Role of Dark Web. Authentication and Authorization are the base of security for all the Technologies present in this world today. Starting from your smartphone where a user authenticates himself before he could access the data inside to Entering into the White House, you must authenticate yourself, and based on that you are authorized. In this digital world where every Business, MNC, Government Body, Companies, Users, etc. needs a website to inform the world about their presence on the internet, provide services online and become a “Brand”, the risk of leaking user's sensitive information increases. It could be dangerous to the users of the hacked website because their sensitive information like a credit card, bank account details, etc. could be sold in the black market of the “dark web”. The role of the dark web is described in the paper and how the data is sold there and what becomes of it. The paper helps to understand how a secure website is developed that promises the user to keep the sensitive information safe, increases the bond of trust between a client and server which results in a long-term relationship. The aim behind developing an authentication system is to keep users’ sensitive information safe so that hackers cannot steal and sell the information on the dark web's back market. To perform this, the developer needs to understand how to implement authentication. NodeJS, with the help of its framework expressJS and some other packages, is used to develop the authentication and authorization system of the website by the research. Previous papers on this field covered the authentication topic in general. This paper overcame that by going deeper into the field and being server-side language specific. The common types of authentication methods used in different types of websites are discussed in detail and the best methods are purposed for the developer to be implemented for a more secure website. This research put light on Artificial Intelligence and blockchain as the future of security of big data.;art;;;;;;;;;;;;;;;
art15;LETICIA: A toolbox for search task deployment, execution, and user interaction logging on interactive information retrieval studies. The analysis of search behaviors as proxies of users’ cognitive and affective states – in the context of information seeking – is an active research topic on interactive information retrieval (IIR). This type of research requires specialized tools either to run new studies or to replicate previous ones. While several IIR studies have been conducted over the years, the required tools are not always available, making the replicability of such studies more difficult and expensive. To address this problem, in this article, we introduce LETICIA (simuLated sEarch Task deploy and InteraCtIon cApture platform), an open-source solution designed to deploy study designs, conduct them, and collect various types of data. LETICIA offers ready-to-use functionalities that can be customized to fit researchers’ needs. These include a built-in search engine, a tool to build document collections, an application programming interface (API), a powerful data logger, and a session flow manager. LETICIA aims to be a contribution to the IIR community, offering a flexible yet simple tool to deploy environments to conduct user studies.;art;;;;;;;;;;;;;;;
art16;Kubernetes and IoT-based next-generation scalable energy management framework for residential clusters. Rising energy demands lead to higher electricity costs, overburdened power grids, and increased carbon emissions. Implementing load scheduling through home energy management systems (HEMS) offers a solution, but existing systems have limitations, especially in optimization algorithms, objective functions, and integration across households. This study introduces an innovative Kubernetes and IoT-based HEMS for residential clusters. The goal is to optimize energy consumption by reducing electricity bills, peak-to-average ratio (PAR), and user inconvenience applying a Multi-Objective PUMA Optimization (MPO) technique. Thus, the proposed HEMS model innovatively adapts the PUMA algorithm into a multi-objective framework, deploys Kubernetes, and validates through a prototype. IoT-enabled data collection and user preferences are processed by smart scheduler hub (SSH) to generate optimal appliance schedules, executed via smart plugs for convenience and cost-effectiveness. Simulations show that the MPO technique reduces daily electricity expenses by 11.89% and PAR by 54.58%. A techno-economic analysis compares HEMS alone, HEMS with Photovoltaic (PV) systems, and HEMS with PV and Battery Energy Storage Systems (BESS), with payback periods of 1.60, 1.75, and 11 years, respectively. The study also evaluates carbon footprint reductions, with HEMS alone achieving an 8.4% reduction in CO2 emissions. Furthermore, the proposed solution is designed to be scalable across multiple clusters, thereby enhancing smart grid advancements.;art;;;;;;;;;;;;;;;
art17;Digital twin-based intelligent fish farming with Artificial Intelligence Internet of Things (AIoT). This paper focuses on designing a Digital Twin infrastructure that supports an agile-based Artificial Intelligence Internet of Things (AIoT) system for intelligent fish farming in aquaculture. Our infrastructure includes the Internet of Things, cloud technology, and Artificial Intelligence (AI) as its building blocks. Our physical entity is equipped with smart devices such as sensors and actuators embedded in smart machines (fish feeding and sorting machines) that collect and transmits big data to the cloud using wireless communication networks for real-time and remote monitoring. We have four major digital twin services: fish feeding to automate the feeding process, metric estimation (fish count, size, and weight), environmental monitoring (water condition, net hole, and green algae), and health monitoring (vitality, mortality, and diseases). Each digital twin service is equipped with multiple AI services (or the digital twin objects) capable of performing complex and other functions such as optimizations, predictions, and analyses for intelligent decision-making to optimize farm profits and production. We integrated a prototype that represents the virtual entity accessible using the web and mobile devices where users can perform fish farm monitoring using the various digital twin services and their related AI services.;art;;;;;;;;;;;;;;;
art18;SafE-Tag mobile: A novel javascript framework for real-time management of unsafe conditions and unsafe acts in SMEs. Nowadays industries have initiative to reduce a number of production injuries and accidents down to zero. This goal could be achieved only through the proactive identification of accident precursors – such as unsafe conditions (UC) and unsafe acts (UA), whose control could prevent occurrence of accidents. At the same time, smartphones (and mobile applications) are taking dominance over PCs, making mobile devices major interface for human interaction with the web. In this term, application of mobile devices in OSH remains to be more exploited and accepted. Takin into account these trends, the present study aims to propose a novel cloud-based mobile framework for the management of UC/UA reports. Compared to previous studies, we considered the recent trends of mobile, cloud and Safety 4.0 in more details – ending up with the solution that is the combo of JavaScript technologies. Additionally, we provided a publically available use case named the SafE-Tag. Particularly, the SafE-Tag was implemented using the React Native for mobile application, Node.js for web-services and Mongo.db NoSQL cloud database. Beside elaborated computational efficiency, these technologies were found as the most optimal in terms of the cost/complexity to develop and/or adapt in an arbitrary SME. It is concluded that the proposed framework brings benefits for both employees and employers through: (1) intuitive and user friendly identification of key safety performance indicators;art;;;;;;;;;;;;;;;
art19;Android Based Job Search Application “Megawe” for The Segment of Workers with an Education Level Below a University Degree. Indonesia is a vast market for talents recruiting, with around 203 million people that count into work age definition (above 15 years) and around 138 million of them are workforce, while 7 percent of the workforce are open for hire. There are several players of job-seeking apps in Indonesia. But most of them are targeting talents with undergraduate degrees and above. Mid to high-level jobs have become such an attractive market for these players. We can see it on several job seeker hub websites, where job seekers proudly post their personal profiles to attract recruiters from top employers. It is not possible for lower-level job seekers to post their profiles on these websites. They will just be under the recruiter's radar. Whereas from the report data released by the Indonesian statistical center bureau regarding the percentage of open unemployment based on education level, the total unemployment rate from diploma education and below is very large compared to the unemployment rate with university education (undergraduate and above). The Covid-19 pandemic also gave a negative impact on the lower job segment, with a decrease in demand and sales resulting in a higher layoff rate which also means an increased percentage of the open unemployment rate. We need a solution to this problem. A solution that can erode a large chunk hidden under an iceberg. This paper offers “Megawe”, a mobile application-based solution to assist both job seekers and low-level job recruiters. This segment may have a smaller contract value than upper segments but has a much larger quantity of labor force. Because we are focusing on development speed and accuracy of requirements, we used the prototyping methodology in the implementation of the solution. Moreover, before it is launched publicly, we conducted usability testing to gain a deeper understanding of the user experience directly from users of the targeted segment.;art;;;;;;;;;;;;;;;
art20;An empirical study of COVID-19 related posts on Stack Overflow: Topics and technologies. The COVID-19 outbreak, also known as the coronavirus pandemic, has left its mark on every aspect of our lives and at the time of this writing is still an ongoing battle. Beyond the immediate global-wide health response, the pandemic has triggered a significant number of IT initiatives to track, visualize, analyze and potentially mitigate the phenomenon. For individuals or organizations interested in developing COVID-19 related software, knowledge-sharing communities such as Stack Overflow proved to be an effective source of information for tackling commonly encountered problems. As an additional contribution to the investigation of this unprecedented health crisis and to assess how fast and how well the community of developers has responded, we performed a study on COVID-19 related posts in Stack Overflow. In particular, we profiled relevant questions based on key post features and their evolution, identified the most prominent technologies adopted for developing COVID-19 software and their interrelations and focused on the most persevering problems faced by developers. For the analysis of posts we employed descriptive statistics, Association Rule Graphs, Survival Analysis and Latent Dirichlet Allocation. The results reveal that the response of the developers’ community to the pandemic was immediate and that the interest of developers on COVID-19 related challenges was sustained after its initial peak. In terms of the problems addressed, the results show a clear focus on COVID-19 data collection, analysis and visualization from/to the web, in line with the general needs for monitoring the pandemic.;art;;;;;;;;;;;;;;;
art21;DFAT: A web-based toolkit for estimating demand flexibility in building-to-grid integration. Demand Flexibility Assessment Tool (DFAT) is an open source web-based tool that estimates the demand flexibility potential of common control strategies in commercial buildings. The toolkit features a demand flexibility estimation tool that contains two calculators, basic and advanced, based on the level of input of customer data. The basic version calculates demand shed metrics for the control strategy “global temperature adjustment” and “cycle on/off compressors” using customer building information, local weather data, and electrical meter data. The advanced version, which uses detailed HVAC equipment data, calculates demand flexibility metrics for control strategies such as static pressure reset, global temperature adjustment, and cycle on/off compressors. In addition to the demand flexibility estimation tool, this toolkit offers a benchmarking tool that helps facility operators, aggregators, and utility resource managers assess demand flexibility opportunities, quantify/verify performance, and compare their performance against that of their peers.;art;;;;;;;;;;;;;;;
art22;Intent Based Networking management with conflict detection and policy resolution in an enterprise network. Intent-Based Networking (IBN) is a novel networking paradigm that allows networks to be autonomously configured, continuously assured, and to be highly adaptable to high-level intentions of network users and operators. In IBN systems, conflict detection and policy resolution modules are crucial to intent activation to enforce correct network configurations. To this end, in this study, we propose an extensible intent model, complemented with a conflict detection algorithm. We also propose a policy resolution algorithm that is based on a two-dimensional analysis of intent endpoints and time spans. To better showcase the efficiency of our algorithm, we also developed an enterprise-based IBN intent management web application for network users and administrators. Our evaluation experiments reveal the effectiveness of our algorithms in terms of reliable resolutions and fast response time.;art;;;;;;;;;;;;;;;
art23;SmartGrow DataControl: An IoT architecture for the acquisition of environmental physiological parameters in Cannabis sativa cultivations. Indoor cultivation of Cannabis sativa is essential for precise environmental control, maximizing cannabinoid yield, ensuring year-round product availability, and allowing genetic enhancement, making it indispensable for commercial producers and cannabis consumers alike. SmartGrow DataControl presents a cutting-edge computational tool designed specifically for monitoring, collecting, and controlling microclimatic factors in indoor crop cultivation. This system utilizes Model-View-Controller (MVC) architecture patterns and layered architectural patterns to seamlessly combine wireless devices with open-source databases. It focuses on energy efficiency by implementing standardized communication protocols like as TCP/IP, MQTT, HTTP, and Web Socket. The platform intends to optimize data collection for agricultural physiology studies, specifically in crops like Cannabis sativa, by utilizing advanced optical and Internet of Things (IoT) technologies. It is designed with a user-friendly interface to facilitate ease of use. Experimental validation verifies the effectiveness of SmartGrow DataControl, enabling farmers to effectively oversee crops and increase productivity through gradual technical improvements.;art;;;;;;;;;;;;;;;
art24;An artificial intelligence based crowdsensing solution for on-demand accident scene monitoring. Road traffic crashes have a devastating impact on societies by claiming more than 1.35 million lives each year and causing up to 50 million injuries. Improving the efficiency of emergency management systems constitutes a key measure to reduce road traffic deaths and injuries. In this work, we propose a comprehensive crowdsensing-based solution for the real-time collection and the analysis of accident scene intelligence as a means to improve the efficiency of the emergency response process and help reduce road fatalities. The solution leverages sensory, mobile, and web technologies for the real-time monitoring of accident scenes, and employs Artificial Intelligence for the automatic analysis of the accident scene data, to allow the automatic generation of accident intelligence reports. Police officers and rescue teams can use those reports for fast and accurate situational assessment and effective response to emergencies. The proposed system was fully implemented and its operation was successfully tested using a variety of scenarios. This work gives interesting insights into the possibility of leveraging crowdsensing and artificial intelligence for offering emergency situational awareness and improving the efficiency of emergency response operations.;art;;;;;;;;;;;;;;;
art25;An empirical investigation on the competences and roles of practitioners in Microservices-based Architectures. Microservices-based Architectures (MSAs) are gaining popularity since, among others, they enable rapid and independent delivery of software at scale, facilitating the delivery of business value. Additionally, there are attempts towards understanding practitioners’ roles and technical knowledge. MSAs call for affinity in several technologies as well as business domains. This diversity makes it challenging to scope and describe the roles of practitioners. In addition, practitioners often do not receive training and contents of MSA training remain largely undefined, even though there are challenges in finding or developing relevant technical expertise. In this research, we determine the different technical roles that are required in MSAs, along with their detailed competences. We use public online forums (e.g., StackOverflow), where developers share technical knowledge. We analyze 13,517 public profiles of software engineers, deriving their technical competences. Our taxonomy of technical competences in MSAs, contains 11 competences clusters, organized in 3 collections of competences — Web Technologies, DevOps, and Data Technologies. In addition, we derive the roles of microservice practitioners and the characteristics of their roles. Our findings organize the technical competences of MSAs practitioners and determine the training topics and combination of topics that can prepare engineers for MSAs.;art;;;;;;;;;;;;;;;
art26;Platform to Support the Codification of Clinical Information According to the International Classification of Functioning, Disability and Health. This article reports a study aimed at developing a web platform to help clinicians to codify observations and interventions according to the International Classification of Functioning, Disability and Health (ICF). The article presents the architecture of the proposed platform, details of the respective implementation, as well as its validation. The validation was performed using real data that resulted from a clinical study aiming to assess a rehabilitative approach based on contextual interventions for children with cerebral palsy or related neurological situations compared to the classical approach. The results show that the platform facilitates the ICF coding process by increasing the level of agreement and reducing the time spent in coding clinical information.;art;;;;;;;;;;;;;;;
art27;Design of monitoring tool for decision making in buildings with solar energy generation. The work presented in this article is part of a project that focuses on the field of energy and sustainability and is aligned with the objectives of sustainable development, specifically goal seven, affordable and clean energy, and goal eleven, sustainable cities and communities. The photovoltaic solar installation for self-consumption at the Deusto University’s residence hall been modelled using generation data, consumption data, meteorological data, and installation components. Although the actual installation features an anti-feeding system, the model allows to evaluate potential energy surpluses. To achieve this objective, it has been necessary to collect, transform, and thoroughly clean the data from the solar inverters, as well as store them for later representation. To process, visualize, and analyse data, the web application developed allows users to understand quickly and easily the patterns and trends related to energy consumption through various graphics, providing a clear and accessible visual presentation of the data that helps them make decisions to optimize energy consumption. In addition, an application has been developed that allows to assess whether or not removing the anti-feeding system and modifying the contract with the distribution company may be favourable.;art;;;;;;;;;;;;;;;
art28;On the Discoverability of npm Vulnerabilities in Node.js Projects. The reliance on vulnerable dependencies is a major threat to software systems. Dependency vulnerabilities are common and remain undisclosed for years. However, once the vulnerability is discovered and publicly known to the community, the risk of exploitation reaches its peak, and developers have to work fast to remediate the problem. While there has been a lot of research to characterize vulnerabilities in software ecosystems, none have explored the problem taking the discoverability into account. Therefore, we perform a large-scale empirical study examining 6,546 Node.js applications. We define three discoverability levels based on vulnerabilities lifecycle (undisclosed, reported, and public). We find that although the majority of the affected applications (99.42%) depend on undisclosed vulnerable packages, 206&nbsp;art;;;;;;;;;;;;;;;
art29;InspectJS: leveraging code similarity and user-feedback for effective taint specification inference for JavaScript - Proceedings of the 44th International Conference on Software Engineering: Software Engineering in Practice. Static analysis has established itself as a weapon of choice for detecting security vulnerabilities. Taint analysis in particular is a very general and powerful technique, where security policies are expressed in terms of forbidden flows, either from untrusted input sources to sensitive sinks (in integrity policies) or from sensitive sources to untrusted sinks (in confidentiality policies). The appeal of this approach is that the taint-tracking mechanism has to be implemented only once, and can then be parameterized with different taint specifications (that is, sets of sources and sinks, as well as any sanitizers that render otherwise problematic flows innocuous) to detect many different kinds of vulnerabilities.But while techniques for implementing scalable inter-procedural static taint tracking are fairly well established, crafting taint specifications is still more of an art than a science, and in practice tends to involve a lot of manual effort.Past work has focussed on automated techniques for inferring taint specifications for libraries either from their implementation or from the way they tend to be used in client code. Among the latter, machine learning-based approaches have shown great promise.In this work we present our experience combining an existing machine-learning approach to mining sink specifications for JavaScript libraries with manual taint modelling in the context of GitHub's CodeQL analysis framework. We show that the machine-learning component can successfully infer many new taint sinks that either are not part of the manual modelling or are not detected due to analysis incompleteness. Moreover, we present techniques for organizing sink predictions using automated ranking and code-similarity metrics that allow an analysis engineer to efficiently sift through large numbers of predictions to identify true positives.;art;;;;;;;;;;;;;;;
