Component,Description,Type
10.3926/ic.1816,Can organisational justice and organisational citizenship behaviour reduce workplace deviance?. Purpose: This paper investigates the impact of organisational justice on organisational citizenship behaviour and workplace deviance and examines the mediator ,art
10.3926/ic.1793,Dynamic capabilities in the tourist companies of the Colombian Caribbean Coast: Case of Cartagena de Indias. Purpose: This article aims to characterize factors of dynamic capabilities and analyze the relationship between them. The case study is particular,art
10.3926/ic.2677,Human resource management practices and organisational performance in the Nepalese development banks: Insights from Structural Equation Modelling. Purpose: Effective human resource management (HRM) practices are essential factors that provide organization,art
10.3926/ic.2208,"Job involvement and valuation of job resources: The mediating effect of satisfaction with job resources. Purpose: Using the job demands-resources (JD-R) model as a general framework, this paper has two objectives: the first, to analyse the relationship be",art
10.3926/ic.1358,To hoard or to share?: Strategic management of knowledge and ICTS in complex economic systems. Purpose: The purpose of this paper is to achieve a better understanding of the effects of strategic decisions related to the management of knowledge taken by or,art
10.3926/ic.1390,Intangible assets and business results of large companies. Purpose: To analyze the main types of intangible assets as sources of economic and social outcomes in large corporations.Design/methodology: We create a sample of large corporations with data from,art
10.3926/ic.1758,"Non-financial information in IBEX 35: Comparison of voluntary vs compulsory elaboration and assurance. Purpose: Large companies are used to elaborating and verifying non-financial information voluntarily. In Spain, it is compulsorily required after Law 11",art
10.3926/ic.2048,"Research trends of the knowledge-based economy: A bibliometric study. Purpose: In recent years, the Knowledge-Based Economy (KBE) has been an emergent field related to Information and Communication Technologies (ICTs). In current business models, organiza",art
10.3926/ic.2635,Does psychosocial mentoring buffer the effect of career mentoring on turnover intentions through attitude toward leaving?. Purpose: This study seeks to examine distinct effects of career and psychosocial mentoring on employee turnover intentions in a mode,art
10.3926/ic.2109,"Virtual education in university teaching. Application of the TPACK model in quantitative subjects. Purpose: To analyse the impact of the compulsory adaptation of teaching brought about by Covid-19 in quantitative subjects, taking into account the technolo",art
10.3926/ic.1700,"Intelligence capital: The management of knowledge assets and development of adaptive capacities in the city of Arequipa. Purpose: The objective of this research is to measure the intelligence components and capabilities in the city of Arequipa, based on t",art
10.3926/ic.2443,"Elevating low-effort engagement to cultivate stronger community commitment: A study of social capital within instagram's brand community. Purpose: This study aimed to analyze the role of social capital in enhancing the engagement of community members, spe",art
10.3926/ic.2367,The mediation effect of firm performance on the association between two-tier independent boards and green innovation practices: Evidence from Indonesia. Purpose: This research examines the role of firm performance in the effect of a two-tier independent b,art
10.3926/ic.2383,Personality and leadership style in generation Z: A quantitative study in a higher education institution in Mexico. Purpose: The purpose of this study was to discern the combination of personality traits that most contribute to effective leadership styles,art
10.3926/ic.2282,"Sustainability and the environmental impact of the tourism industry: An analysis of the hotel sector in Catalonia, Spain. Purpose: This research examines policies aimed at reducing the environmental impact of the hotel sector in Catalonia, Spain in 2020 a",art
10.3926/ic.1732,Entrepreneurial intention and university: A necessary relationship in regions with high levels of unemployment. Purpose: Although university entrepreneurship education as a predictor of entrepreneurial intention (EI) has been verified in the academic lite,art
10.3926/ic.1731,Organizational and social innovation in Non-Profit Organizations performance in the context of an emergent economy. Purpose: This study provides empirical evidence on the innovations that Nonprofit Organizations (NPOs) in Colombia have implemented within ,art
10.3926/ic.2418,Managerial perspectives on human resource practice interaction effects and organizational performance in SMEs. Purpose: The aim of this paper is to clarify the human resource management (HRM) literature in small -to -medium-sized enterprises (SMEs) by emp,art
10.3926/ic.2389,Determinants of innovative behavior from the perspective of individual factors: A conceptual framework. Purpose: This study outlines the structured dimensions of innovative work behavior (IWB). It interprets and associates the underlying characteristics f,art
10.3926/ic.2213,Analysis of determinants influencing the level of intellectual capital disclosure: The case of FTSE 100 entities. Purpose: The paper deals with the issue of intellectual capital (IC) and its disclosure in the financial statements and other parts of annual,art
10.3926/ic.1368,Employability and professional success: A study about the economy and business graduates. Purpose: The aim of this paper is to reach a conclusion about the aspects that enable graduates to achieve success in the labour market. The analysis focuses on the ,art
10.3926/ic.1339,"Systematic review on R&D&I aid in Spain. Purpose: To analyse the scientific production around public R&D&I funds in Spain, in a context in which policies to promote innovation and development are considered essential for the progress of developed countrie",art
10.3926/ic.1734,Psychosocial factors and risks in work environments: Case study of employees of MSMES in Medellin- Colombia. Purpose: The purpose of this research is to determine which are the elements associated with work environments that generate psychosocial risks in,art
10.3926/ic.1870,Vocational continuing training in Spain: Contribution to the challenge of Industry 4.0 and structural unemployment. Purpose: To diagnose the situation of vocational continuing training in Spain and propose improvements to its management to reduce the stru,art
10.3926/ic.1685,"Student commitment to social responsibility: Systematic literature review, conceptual model, and instrument. Purpose: This study aims to carry out a systematic literature review on empirical manifestations of the student commitment to social responsibilit",art
10.3926/ic.2128,Consequence of psychological distress on performance achievement: A social exchange theory perspective. Purpose: This study aimed to examine and analyze the consequences of psychological distress on performance achievement of managers and employees in Isl,art
10.3926/ic.2093,"A service-learning program assessment: Strengths, weaknesses and impacts on students. Purpose: This paper aims to research the strengths and weaknesses of service-learning programs in order to identify the challenges of their application, the educational ",art
10.3926/ic.2079,"Immigrant entrepreneurship and gender dimensions: A systematic review. Purpose: This paper discusses whether the gender dimension of immigrants influences their entrepreneurial activities in host societies. Human capital theory, social capital theory, and",art
10.3926/ic.2164,Sustainability practices and student satisfaction in business schools: The role of notoriety and internationalization. Purpose: The objective of this study is to determine whether sustainability practices of business schools improve the internationalizati,art
10.3926/ic.2011,"Predicting procrastination with academic performance: Towards the anticipation of a higher education problem. Purpose: With the purpose of predicting the problem of procrastination, we study how age, sex, type of studies and grade for admission to higher ",art
10.3926/ic.2110,The role of asynchronous and synchronous activities in university academic performance: A comparative study of traditional and inverted class methodologies. Purpose: The objective of this work is to investigate the effect of synchronous and asynchronous a,art
10.3926/ic.2180,"Research trends in the field of organisational management: A bibliometric analysis. Purpose: Studies into organisational management are considered key to understanding the characteristics of the organisational fabric in general, and administrative manager",art
10.3926/ic.2046,"Wellbeing of female employees: What workplaces attract women?. Purpose: Previous research has highlighted that employee wellbeing in the workplace is closely linked to equity, achievement, and interactions. However, gender inequality in employment opportu",art
10.3926/ic.1626,Study of emotional skills in a sample of students and workers. Purpose: The aim of this study is to assess the levels of emotional intelligence (EI) and emotional competencies according to gender in a sample comprising working adults and of undergraduate ,art
10.3926/ic.2456,Business sustainability practices and financial performance in the creative economy sector in Indonesia: Moderating role of power distance and long-term orientation. Purpose: This research explores the effect of business sustainability practices (BSP) on ,art
10.3926/ic.2107,Towards an integrated definition of job crafting. Purpose: The aim of this paper is to form a comprehensive definition to describe the term job crafting.Design/methodology: A qualitative and quantitative analysis of the CSR communication variables of corp,art
10.3926/ic.1833,"Oil and its influence on the creation of a sustainable society: A systematic literature review. Purpose: The aim of this work is to analyze the petroleum industry from the perspective of sustainability, taking into account its three dimensions: economic, ",art
10.3926/ic.2028,An experimental research on emotional stimuli of consumers: The case of H&M flagship store influence on the millennial customer experience in Barcelona. Purpose: The main objective of this exploratory research study was to demonstrate the extent to which ,art
10.3926/ic.2550,Do work-life balance measures influence the profitability of Spanish listed companies?. Purpose: This paper analyses the effect on economic profitability of the adoption of work-life balance practices. Design/methodology/approach: Based on a sample of Spa,art
10.3926/ic.2090,Proptech: A qualitative analysis of online real estate brokerage agencies in Spain. Purpose: The arrival of new companies that are more technological and scalable to the real estate sector has caused a revolution in a very conservative and not very innova,art
10.3926/ic.2244,Consumer opinion on online grocery shopping in Catalonia during Covid-19. Purpose: The aim of this research is to analyze the academic literature on online grocery shopping to identify a set of variables to assess by means of a validated survey the shoppi,art
10.3926/ic.1809,Analysis and categorization of studies of digital marketing in small and medium enterprises. Purpose: This study analyzes and categorizes the scientific production in the field of digital marketing in the specific context of small and medium enterprises.D,art
10.3926/ic.1318,"Counterproductive work behavior, job stress, trait emotional intelligence and person organization fit among employees of leasing industry in Indonesia. Purpose: This study aims at comprehending the effect of stress on counterproductive work behavior. As j",art
10.3926/ic.1775,"Engaging with untruthful company crisis communication: The understanding of decoupling in the face of crisis. Purpose: By considering the organizational legitimacy framework, this work examines how offending companies decouple their narratives from the fa",art
10.3926/ic.2100,"Importance of sustainable training for the employment of the future. Purpose: University learning of a group of competencies, also proposed by Bologna, is currently gaining importance: transversal competencies, already included in the OECD Competencies Re",art
10.3926/ic.1781,The impact of employee empowerment on organisational performance: The mediating role of employee engagement and organisational citizenship behaviour. Purpose: This study assesses the mediating role of employee engagement and organisational citizenship beh,art
10.3926/ic.2416,The impact of family ownership on the relationship between the existence of the women board of commissioners and firm performance. Purpose: The first objective of this study is to analyze the presence of women boards of commissioners (WBoC) and firm perfo,art
10.3926/ic.1745,Business organizations as living beings. Purpose: The objective of the work is to assess whether the Organic Model is a management model that positively impacts the environment of organizations and facilitates their survival. This model considers that all,art
10.3926/ic.2426,"A systematic literature review: ESG criteria implementation in the insurance industry. Purpose: Sustainability and Environmental, Social and Governance (ESG) criteria are gaining more relevance, and the insurance industry is playing a relevant role in the",art
10.3926/ic.2228,"Relationship among economic crisis, stock market crashes and accounting scandals. Purpose: This work investigates the relationships between stock exchange crashes and accounting scandals.Design/methodology: We analyze the main accounting scandals and stoc",art
10.3926/ic.2020,"Does green innovation play an important role in the effect board gender diversity has on firm performance?. Purpose: This research is motivated by the developments in the debates in the literature about addressing the 17 SDGs promoted by the UN, particula",art
10.3926/ic.2238,Ethical leadership and creativity in employees with University education: The moderating effect of high intensity telework. Purpose: The main objective of this research is to determine if the number of days teleworked gradually influences the causal relat,art
10.3926/ic.2022,The impact of busy director on the relationship between intellectual capital and performance of manufacturing companies: Evidence from Indonesia. Purpose: The purpose of this study is to investigate and analyse the influence of intellectual capital on man,art
10.3926/ic.2139,"Teleworking and emotional exhaustion in the Colombian electricity sector: The mediating role of affective commitment and the moderating role of creativity. Purpose: After two years during which teleworking has been a temporary obligation, the Colombian el",art
10.3926/ic.1589,"Workplace relationships in Europe: An analysis by occupation and employment status. Purpose: This article analyses the extent to which two objective attributes of work - employment status, and occupation - influence workplace relationships in Europe. Empl",art
10.3926/ic.1876,Evaluation of entrepreneurial behavior of technology-based companies in stages of the business life cycle. Purpose: The purpose of this paper is to evaluate the entrepreneurial behavior of managers of technology-based companies in specific stages of the b,art
10.3926/ic.1978,"Biotechnology firms, signals, and venture capital investment. Purpose: Biotechnology has gained such prominence in the past years that approximately 50% of new drugs developed worldwide are of biotechnological origin. Some of the Covid-19 vaccines are a g",art
10.3926/ic.2221,"The organic model and ethical banking: The importance of identity. Purpose: The aim of this work is to highlight the advantages of applying the Organic Model to organizations. It considers the example of European Ethical Banking, which came about as the r",art
10.3926/ic.2547,Bridging sentiment and finance: An exploration of BOD statements and bank ratios in Jordan. Purpose: This study explores the intricate interplay between sentiment extracted from Board of Directors (BOD) statements and the traditional financial metrics of ,art
10.3926/ic.2922,Key organisational barriers to effective knowledge risk management in South African public sector enterprises. Purpose: The aim of this study was to delve into the obstacles preventing the effective management of tacit knowledge risks in South African pub,art
10.3926/ic.1746,"The resilience factors of the agri-food supply chain: An integrative review of the literature in the context of the COVID-19 pandemic. Purpose: During the COVID-19 global pandemic, a very significant change has occurred in the demand for basic goods, resu",art
10.3926/ic.2297,The impact of active learning on entrepreneurial capacity. Purpose: This paper intends to shed light on the teaching-leaning methodologies that best contribute to developing entrepreneurial competences. Design/methodology: We pose an active learning model,art
10.3926/ic.2191,"A systematic literature review of current understanding and future scope on Green Intellectual Capital. Purpose: This paper intends to scrutinize evolution and the growth of literature on green intellectual capital(GIC)over the period 2008 to 2022, conseq",art
10.3926/ic.1505,The role of social media as a voluntary intellectual capital disclosure in universities: Evidence from Indonesia. Purpose: This research explains the influence of social media as a tool for the voluntary disclosure of intellectual capital on university pe,art
10.3926/ic.2211,The study of intangible capital analysis in economics literature in Scopus sources 1908-2021: The corporate black box unaddressed. Purpose: This paper performs a comprehensive bibliometric investigation of the role of intangible capital in the economics l,art
10.3926/ic.1542,"Entrepreneurial skills in university degrees. Purpose: From a skills perspective, the academic field of entrepreneurship has grown to become a key element in university studies. Determining whether these skills exist among university students and how to f",art
10.3926/ic.1522,Blockchain and its application to accounting. Purpose: In recent years Bitcoin has revolutionized the financial world. Its birth was made possible thanks to an innovative combination of certain pre-existing technology in computer networks and cryptography,art
10.3926/ic.2737,Non-financial rewards for human resource management in technological companies. Purpose: This research study aims to determine the importance of non-financial rewards as an element of total compensation and its relationship to human resource management me,art
10.3926/ic.2643,Job insecurity and moral disengagement in frontline employees: A moderated mediation effect of perceived organizational support and occupational regret. Purpose: The study's purpose is to analyze the effect of job insecurity on the moral disengagement of ,art
10.3926/ic.2657,Environmental disclosure practices dimensions and total value-added growth of the nigerian listed manufacturing companies. Purpose: This research explored the interaction of environmental disclosure practices dimensions (environmental financial informatio,art
10.3926/ic.2230,Special Issue Higher education: A fundamental intangible capital towards a sustainable future. ,art
10.3926/ic.2196,Psychological capital and entrepreneurship: A systematic literature review of a growing research agenda. Purpose: Psychological resources are determinant for the entrepreneur's individual performance. Psychological capital has been seen as one of the pill,art
10.3926/ic.2575,The driving forces behind the prices of major cryptocurrencies: Evidence from the past five years. Purpose: The primary objective of this study is to uncover the complex relationship between cryptocurrency prices and significant global events that transpi,art
10.3926/ic.2726,"Does the Deployment of the ISO 9001 Standard Have an Effect on Intellectual Capital?. Purpose: The objective of this paper is to verify whether the ISO 9001 standard has an impact on the three components of intellectual capital, namely: human, structural,",art
10.3926/ic.2267,Winning post strategies that generate engagement: A QCA approach. Purpose: Fashion companies are using an increasing amount of resources to generate social media content to provoke an impact and engage customers. A wrong message or image - but also an ina,art
10.3926/ic.2223,"Integral viability analysis of entrepreneurial projects in critical contexts: Application to the case of the management of a shea mill in Kumbungu, Ghana. Purpose: This research presents a method proposal to analyse the viability of entrepreneurial projec",art
10.3926/ic.2279,Role of line managers in human resource activities: Evidence from a case study. Purpose: This study aims to explain the role of line managers in human resource activities. It is a case study in West Midlands. Design/methodology/approach: The trend of line,art
10.3926/ic.2417,"The competence of digital entrepreneurship in education: Analysis of the perception of university students. Purpose: From an educational perspective, digital entrepreneurship comprises the convergence of the dimensions of entrepreneurship competence and d",art
10.3926/ic.2515,The New Game of Online Marketing: How Social Media Influencers Drive Online Repurchase Intentions Through Brand Trust and Customer Brand Engagement. Purpose: This study examines the impact of social media influencers (SMIs) on online repurchase intentions,art
10.3926/ic.1654,Identifying the determinants of individual scientific performance: A perspective focused on AMO theory. Purpose: The aim of this study is to empirically analyse how motivation and the opportunity to investigate enhance the direct relation between the rese,art
10.3926/ic.2425,"Is crypto legitimate? Study on the relationship between legitimacy and public engagement on crypto market in Indonesia. Purpose: In recent years, the development of the crypto market has grown exponentially compared to other investment assets. Using the l",art
10.3926/ic.2312,"Fake news and youngsters' decision journey: An evaluation of the influence of misinformation on social media. Purpose: Social media has changed the way users interact with each other, and has become an important part of numerous lives. However, there is a",art
10.3926/ic.1756,"Transparency in the transparency reports: Empirical evidence from Portugal. Purpose: The purpose of this research is to analyze the degree of transparency reports (TR) transparency and its relation with the audit firm size, fees, either from audit service",art
10.3926/ic.1806,"Systematic literature review of interpretative positions and potential sources of resistance to change in organizations. Purpose: This article addresses the main concerns of existing literature about resistance to change (RC) in organizations, namely the ",art
10.3926/ic.2056,"Financial inclusion of remittance recipients and non-recipients in Mexico. Purpose: Remittance reception plays a relevant role in Mexican household economies, as Mexico was the world's fourth highest remittances recipient in 2019. Studies about remittance",art
10.3926/ic.1440,Talent identification and location: A configurational approach to talent pools. Purpose: Talent management (TM) has become a strategic priority for companies seeking to identify employees with outstanding performances and the potential to hold strategic p,art
10.1080/09585192.2024.2424289,"Does workplace ostracism lead to knowledge hiding? Modeling workplace withdrawal as a mediator and authentic leadership as a moderator. Given the dearth of information on why, how, and when workplace ostracism affects targets' knowledge hiding behavior, t",art
10.1080/09585192.2024.2371809,"Paradigm shift in sustained employability: relevance of workaholism, job insecurity, job crafting, and presenteeism. This study extends the existing discourse on employability. Drawing on regulatory focus theory, we contend that workaholism (a pull factor",art
10.1080/09585192.2024.2342294,"How power, expertise, and hierarchy influence voice on patient safety: a study of surgeons and anaesthesiologists. This paper adds a novel perspective to employee voice literature by thematically analysing 36 in-depth interviews of surgeons and anaesthesi",art
10.1080/09585192.2023.2300033,'You're only a care worker'. Exploring the status of adult social care work through the intersection of HRM innovation and job quality. This paper examines the intersection between job quality and innovation by exploring policy-led innovation aimed at del,art
10.1080/09585192.2023.2263347,"How does managerial consultation backfire pertaining to employee voice pressure?. In response to managerial consultation, employees are likely to be pressured yes-persons. In this paper, we propose the concept of voice pressure and explore its antecedent ",art
10.1080/09585192.2023.2169075,"Approaching or avoiding? Mechanisms of host-country language proficiency in affecting virtual work adaptivity during COVID-19. The COVID-19 pandemic has forced expatriates in many organizations to do virtual work, while virtual communication is becoming a",art
10.1080/09585192.2022.2122730,Where do I belong? Conflicted identities and the paradox of simultaneous stigma and social aggrandizement of military veterans in organizations. Military veterans often transition into the civilian workforce after serving in a nation's armed forces. The p,art
10.1080/09585192.2021.2021732,"Building sustainable societies through human-centred human resource management: emerging issues and research opportunities. In this paper, we argue that adopting a human-centred approach to human resource management (HRM) will contribute to building susta",art
10.1080/09585192.2019.1704823,"Testing three assumptions of talent management about the motivation to quit in Lima, Peru. Recent scholarly claims suggest that talent management (TM) needs to move beyond assumptions and that TM research should address contextual factors. This study eval",art
10.1080/09585192.2021.1949626,How important are political skills for career success? A systematic review and meta-analysis. Political skills are an important factor in promoting career success. Although some scholars have paid attention to the relationship between political skills and,art
10.1080/09585192.2018.1510848,The impact on employees' job performance of exercising self-directed learning within personal development plan practice. Today's world of work is forcing companies to change their approach to learning. Their talent strategy needs to foster self-directed l,art
10.1080/09585192.2021.1886151,"Fostering mental health at work: the butterfly effect of management behaviors. With the growing number of work-related mental health problems occurring worldwide, a call for all stakeholders to contribute to improving these problems has emerged. Managers'",art
10.1080/09585192.2018.1496126,"Differences that matter: hiring modes and demographic (dis)similarity in executive selection. Scholars, practitioners, and policymakers have long acknowledged the importance of understanding the antecedents of top management team (TMT) composition. Yet, r",art
10.1080/09585192.2024.2397376,Contextual and temporal effects on diversity action programmes in organisations. This study adopts a comparative institutionalist lens to explore contextual and temporal effects on the use of diversity action programmes within organisations across eight E,art
10.1080/09585192.2024.2358247,"Research on the mechanism of knowledge workers' dual work passion on innovative behavior. By integrating conservation of resources theory and the perspective of resource flow across domains, this study had hypothesized and examined how dual work passion i",art
10.1080/09585192.2024.2329399,"Extreme work in organizations: mapping the field and a future research agenda. Despite the growing interest in the phenomenon of extreme work amongst academics, policy makers and the media, the area is characterized by different constructs, terminology, a",art
10.1080/09585192.2024.2332466,"Meaningfulness is a luxury? How daily meaningful work activities and financial resources influence daily meaning and purpose in life. Experiences in the workplace undoubtedly affect people's lives, yet we know little about the role that financial resource",art
10.1080/09585192.2023.2266678,"How and when does the career future time perspective motivate service performance?. Despite the importance of the career future time perspective (CFTP) in shaping employee work behavior and performance, we know little about how and when CFTP influences em",art
10.1080/09585192.2023.2214319,"Can green human resource management promote employee green advocacy? The mediating role of green passion and the moderating role of supervisory support for the environment. As an emerging concept, employee green advocacy has received increasing attention ",art
10.1080/09585192.2022.2063064,"Teleworking in times of COVID-19: the role of Family-Supportive supervisor behaviors in workers' work-family management, exhaustion, and work engagement. Based on the Conservation of Resources theory, this research investigates the association between wor",art
